,txn_hash,address,to_,token_id,price_value,price_currency
0,0x791b281fd9164a526f05be1307c8e3ea9fd17a45cb607f6c63b19e44ad2cd876,0xf8aeebc5c70d08ba3e316738ab967e4e12d3518e,0x7e933cd9d779748afe7ea07a0006f7f58a0a9120,9855.0,,ETH
1,0xd0467cf3f83bde2e7c2d3548be4601561002a1c03079e0262d247e0e86230df2,0x5660d118122ebf4a5b6b233735e203ca46ff92c2,0xc9cdc3ecd4dcb75f135c5a8d9343e08352830b6b,1284.0,0.09,
2,0xc1669db98ea01196e8b7fe614af0c4a2ded2b63b47b850f3f42dc80dc34b2c6f,,0x3c1738cc9267e061ad30c2e9f5ffb54c60de0174,,0.209,ETH
3,0xdc3edcbdb9a5bc08661e699151f232897aaa18659cc1926bfec7546387c70cdf,0xae6a480973432b5cd4f8ce95ce76e9237773d900,,1737.0,0.0175,
4,0x735c9ddfaa4882121aba133c8b775931747138317f8a59c88184af6f92cac7b0,0xdb55584e5104505a6b38776ee4dcba7dd6bb25fe,0xfbb4a3b6cedb47e53448721395477217dc320df2,,0.09,
5,0x03214a3765145aad40fc469cb0288c0a2906fc71d7e1bbdec267d7e198fc71c3,,0x1f441c82f5a5dba80ce2d56c993d1f0539ff19b7,3025.0,0.0599,
6,0x8eeb39d7fa6a059aa39e4942c05afdb1a687052fa7d392a0307067ca19c95352,0x92eb1aa966a6a9ed2ffe18d9abfa2805cddc81b2,0xf7b188d84192e23049da2e659ddc2d79d7c85e1d,,0.15,ETH
7,0xedd59f57792a0db78d790d536cf3c814c13e57cf490d6f725b1ed72435cfe149,0x2216d47494e516d8206b70fca8585820ed3c4946,,12509.0,0.0999,ETH
8,0xd2b7db1acf47948cddcf6b6412ca50fcf75ec1c851497f5900fca08ed08edf67,0x3a3fba79302144f06f49ffde69ce4b7f6ad4dd3d,0xff47590998596515e1d3fda91c69bd6caae8e1fe,,0.3249,ETH
9,0xc77b53ed2140318e6fe417440d29d83c47f1a8e0d64532a3a88b2793a3434a53,0x82c7a8f707110f5fbb16184a5933e9f78a34c6ab,,2349791.0,6.0,ETH
10,0x04a83abb1fa096860cb04659334cd4ce73ec2dd0f25f03e061fd3c04ab571a79,0x6632a9d63e142f17a668064d41a21193b49b41a0,0x9798a6db2165624b367ab2da32fc676594b4ceb2,,1.978,ETH
11,0xd6ca3490d256b81f75d5645634c26317fd18fdd9ba71dabb290820b60f842225,0xdb55584e5104505a6b38776ee4dcba7dd6bb25fe,0x07990e6f870460932ab2c723016728b99170e64f,,0.29,ETH
12,0x731bbb0907967e1284d080fded320f6321e4c9e4d6d425ae94b7ad8c458ba337,0x7c770076e40b55bccf441074ed57dce00616cda0,0xce7d690851f4a17b2456ee3d5f98339f4ff25ff3,2129.0,,ETH
13,0x10274090b93b8f0c5c41701b8aa933f7835c1c7d0bd6d7994a329880d0e0565e,,0x5609daa6fd0ca1e7522530f37b027fe1e41521e3,5525.0,,
14,0x0f20d20e3d021820eb41c32bb3215a2af6460d0ace20105c1f39fae1ce7adb9f,0x3146dd9c200421a9c7d7b67bd1b75ba3e2c15310,0x9bea9afb9608e16a99a521ab1cda2a237740da0e,3068.0,,ETH
15,0xf49a13bea1fff097762c7c911351a8c36e474c65549109b43913fa5dcc2f4582,0xe5af63234f93afd72a8b9114803e33f6d9766956,0x558e0e63d9557fa6620dab76a49f688b149357cb,5577.0,0.299,
16,0xee1d3bd914392b5b077f3d2e80bc263a755c947819ca5fe076582139f3f014a7,,0xde50e63287e0c68eb4195e82375230e564b31e12,2766.0,0.355,ETH
17,0x7613277ac5d759f909d13a753d1553fba2506113fdf44ec139813c166de0c405,0xad4d85257c815a4b2c7088a664e958b035b24323,0xb5cbb5575dfee05a6eedba4a7989cf086cd18c1e,7907.0,,ETH
18,0xc6cdb208375710723553e135ec0141e00930c67aa0384e200513d25e7fc99dea,,0x6ee1999d431a7d826ac998ce436e0fd153551270,,0.05,ETH
19,0x2dfe3804ed195d7531f340d6887907767e28d746a840d3724314506a22d8afc6,0x3bf447963c8d8bdf06751528de40efb0849f3037,0xa1e695f77d741bcef481677323be401f4495cd52,4800.0,0.173,
20,0x331f6748d5304860605035b8f340e946b0a14585d7fdd412d534fbe7ebc7c468,0xc4771c27fb631ff6046845d06561bf20ef753dab,0x388d088fb1ea8ee6e5ebccbb837cb094e0fdecd3,7628.0,0.065,ETH
21,0xff08a205afcb9da52cffbdbf2b3151d73a7096ce6a105171aa6fc687685ebdb5,,0xb32b4350c25141e779d392c1dbe857b62b60b4c9,5800.0,2.4,ETH
22,0xb2a6880e9f3bd32886dc9f2f2f6771a176a49096b9731996c1607659a16f8ac6,0xa5c0bd78d1667c13bfb403e2a3336871396713c5,,1123.0,,ETH
23,0x9c99b34c1e3a16b024b805724e8ee54f0c72b66b1c9315c7ff3121a1c6aab5ba,,,167.0,0.039,ETH
24,0x1385bd6775d9c24f5b4ed35969063203cf565c6f5ea1dc43a5373dd4b89410c1,0x9cf63efbe189091b7e3d364c7f6cfbe06997872b,0xf2f0ff12a657c368cdc1d5bb8c6d0b07bb146503,,0.03,
25,0x1b4c3fe582a6b8ccb1fdbe210eb2731525d653cad64dbbb33d71af7c1d97a9c6,0x219351f2baec497a42416ba170a9b09696bf9e2e,0x91e98ca7e491b5af2213595a52efb9c324bb96ea,1533.0,0.03,ETH
26,0x81aa214c740a711ed60218ce25cedde0bc255323e1aac19b89f3568738e0510a,,0x21ab3ef361e29c7348e9a2e87193aa76998caaaf,354.0,,
27,0xd1a4bbaf25fce5dff0d48586998e2c428542aeb6a19488d8a53442e6cc23ec11,0x127e479ac59a1ea76afdedf830fecc2909aa4cae,0x8b83ee3f04e14d2c4119e90435d3b988dcf4bc98,7159.0,,ETH
28,0x231db33a9486cb1229e7569cf2026a9f8ede36fb57d3f1a2684885d6fb143106,0x000000059619cdddc056910672abc90887136a95,0x5e87ddb9871696e6a872ca6305de37121200f1e2,166.0,0.14,ETH
29,0xc5b0fdbbef7f383733d57839553519b8a71db5d03cd9adbd31354ccee32503dd,0x2f2d5aa0efdb9ca3c9bb789693d06bebea88792f,,1910.0,,WETH
30,0x6fd805aa05a4157068a3c6412f375147b7733a77663d254e3316cd56f5f9af08,0x6cc462bc49cecfe943bc4f477b23b92906e6074f,0x6ed9611aa9a6c2d3f8499f20ba2b30d2c711c863,133413.0,3.5,ETH
31,0x2678bc7e9416cbf5181230874eac5ceb765c9fad65b41b3e5fbdabd97d021266,0x5180db8f5c931aae63c74266b211f580155ecac8,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,1287.0,1.0,ETH
32,0x963d5d9fe820b2a935071ff827f0754fc5348ab27bf5edb97ccedf765ee676e3,0xd532b88607b1877fe20c181cba2550e3bbd6b31c,0x528f9819fef916bafd7484ae970e23ea48ba9a6f,,2.55,
33,0x5cf316e2ecf490fd2b30d9f8216bce10ac9bac40707c8aea75c7cc2164ff1b3e,,0x21a0df6bf984ba34d912960ddcb5ceb891f8a64b,,0.2,
34,0x5f43117ffb8f2b34234c1fb9d91ba6408f9179977aae868a053ab039b1ebf050,0x099689220846644f87d1137665cded7bf3422747,0x8488f78d943cf6b5e1231c5370fed186ba7a3044,7991.0,,ETH
35,0x464c9170a3c985af3591576d8d1339388c72176396558fbd27824b3e83eb7594,,0x567d64d49dd2e9500ec3c432642905a1ac3292ff,7534.0,0.04,ETH
36,0x5b3a52ee5bf0c18eb3ee766d9227b49c89dc8567d62f76860809f19b4cc42760,0x9011cf11924e83a0391b4096d5f054ea1712ba4b,,826.0,,
37,0x8f6e14a5bdff606d03eff3c6aa62f6bd78ea78c863e5f154869ee70a108068f4,0x928f072c009727fbad81bbf3aaa885f9fea65fcf,,,0.138,ETH
38,0xf07b5442d14faad97f32c31a6735c69c9068f5862bc41e2a2be1ddd7abc19dd5,0xd7b287f8ef807fce5949ec64c316985b97171cd7,0x84f336aba6c842cf1f6dea765aaf714f2af43f84,200.0,0.059,ETH
39,0xb9ef3d4c3c528f7509203d796e4a7e24000f74d3df3ef881871f7c884b55bf56,0x454cbc099079dc38b145e37e982e524af3279c44,0xc6ad2c43b5a7a2078a3606418f77cb50ce29f9fd,7982.0,0.35,ETH
40,0x57ca304b95fc464e3101d8316240dceb15bef10d18caa6344d4d2bc06202a530,0x62d8ae32b0e6964d2126716cf3da70c2bd062d94,,,0.1702,ETH
41,0xcfeb4e8604360b9d28ef02edb98c9988f1c1c4212c4dbcb7ebe4f2466e673b77,0xb5c747561a185a146f83cfff25bdfd2455b31ff4,,,,ETH
42,0x0bc309f2c2dc498a0619e512ce9ad09440f55aefd70b67eb63a8511415d9774e,0x81c50fe3f697e9d6f0a26664ace8f1cdd8f02bf7,,979.0,0.189,ETH
43,0x7bf5d5031844fff6b6936c3fb7fbf334fb39bf6b1d020bdee722cc8183601b2b,0x76b3af5f0f9b89ca5a4f9fe6c58421dbe567062d,0x7625523e05960315b0d790520009a101044975cd,,0.03,ETH
44,0xfd5831e01aeecf55ee8d280e26d452a7a4bc7a0e4b78577ab6665793106dab33,,0x86d3af9ff0e89cc2382d8b171aff5ebce5ef4351,,0.455,
45,0xa75741ceed49b220c595c4bdbbd8ed2e28b15e55bd74bdfd95c57e8b5202ba95,0x10064373e248bc7253653ca05df73cf226202956,0x961f67efdacfcd05dfa35ec63f050396f8aedb90,9820.0,0.065,ETH
46,0xe95dcf5d17b9d3f58e2544a14a764e57746302ec7b1138d5cb80b060d1a4aa30,0x5ad0f6563f83b68b69ed3db5dc69e0748a8a2e5c,0x4866b038575a53d721fbf9be77fb9617378fbb96,,0.08,ETH
47,0x22e2cb1741bdcd4721377a32ae95a918463a63d384d11494dfaf2e113e2ec09c,,0xb76ad9b3b5da12cf3214aea433ec25751d340a4c,474.0,0.39,ETH
48,0x092bbd7662518d32da9c2cfb289d50836f455ad989fda68f80c3fe20e3fd08c3,0x0477a628bd5722f56646b094126d4489b121b5ea,0x724d4b3fec98e17c16531ce1d0494aae57412fda,2963.0,0.099,ETH
49,0x5cc5f65157e4cf3d27b6008da1c49f5b61b2adbc95b81beec31d1ae6cfc56f73,,,804.0,0.125,
50,0xabf3dc8202020e16de851b7dcdff418ad1aaaf8a1ca6d383864890eb873889ba,,0x8f2f4afab6dc4e94f88052ed566f9eac20c2e93c,2037.0,,
51,0xa6ab9b1dda8db9f17fd496cad971c2f51789ca269c6c429e7446a9c281a64ecf,0xa54e6b99f58b6165228abcdc681e9a16bcefdbe1,0x3be22cb4d001be91193d65f95d16fb554b0aa833,6610.0,0.0675,ETH
52,0x9a693bcf50248280cf5a95335a1e98f5989354379c27820f74972f7e5fe0f949,,0x9a28e21100fd33f55b53bd378b6e94b06c30abdb,,,ETH
53,0xfbf3aeeb044732c8eddfa8016185cacbde1895dcaf0490df4733588bb32fb150,0xc196ae96170c58eb7b78c917298064ce7192f046,0xa8d41eb41641d49972f1683609acd0597384cba8,,0.1359,ETH
54,0xd451fe19c136fa5e97fdbdf7659f61ef7cff08aef5ae610743b52e7c54498eea,0x6fd053bff10512d743fa36c859e49351a4920df6,,,1.7,ETH
55,0xb2eab7f79dfbde7219ec714b85798e8dd480ab34761ee15a0693ca86882915e0,,0x912b89a306a87e3a26ee47e2b7a983ed27e225ed,2339.0,,ETH
